Query date	Label	ID	Origin	Destination	Date	Price	Flight number	Flight string	Price Updated
2022-10-08 01:28:40	Navidad	1	PSA	TFS	2022-12-29T11:45:00	260.79	FR7476	FR~7476~ ~~PSA~12/29/2022 11:45~TFS~12/29/2022 15:15~~	1665150109000
2022-10-08 01:28:40	Navidad	2	PSA	TFS	2022-12-31T06:55:00	229.19	FR7476	FR~7476~ ~~PSA~12/31/2022 06:55~TFS~12/31/2022 10:25~~	1665162458000
2022-10-08 01:28:40	Navidad	3	TFS	PSA	2023-01-05T15:50:00	229.19	FR7477	FR~7477~ ~~TFS~01/05/2023 15:50~PSA~01/05/2023 21:00~~	1665127313000
2022-10-08 01:28:40	Navidad	4	TFS	PSA	2023-01-07T11:00:00	354.42	FR7477	FR~7477~ ~~TFS~01/07/2023 11:00~PSA~01/07/2023 16:10~~	1665162460000
2022-10-08 01:28:40	Navidad	5	TFS	PSA	2023-01-09T10:15:00	229.19	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1665156559000
2022-10-09 14:41:37	Navidad	1	PSA	TFS	2022-12-29T11:45:00	260.79	FR7476	FR~7476~ ~~PSA~12/29/2022 11:45~TFS~12/29/2022 15:15~~	1665300187000
2022-10-09 14:41:37	Navidad	2	PSA	TFS	2022-12-31T06:55:00	229.19	FR7476	FR~7476~ ~~PSA~12/31/2022 06:55~TFS~12/31/2022 10:25~~	1665299868000
2022-10-09 14:41:37	Navidad	3	TFS	PSA	2023-01-05T15:50:00	230.59	FR7477	FR~7477~ ~~TFS~01/05/2023 15:50~PSA~01/05/2023 21:00~~	1665299882000
2022-10-09 14:41:37	Navidad	4	TFS	PSA	2023-01-07T11:00:00	354.42	FR7477	FR~7477~ ~~TFS~01/07/2023 11:00~PSA~01/07/2023 16:10~~	1665299971000
2022-10-09 14:41:37	Navidad	5	TFS	PSA	2023-01-09T10:15:00	229.19	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1665300889000
2022-10-13 22:30:02	Navidad	1	PSA	TFS	2022-12-29T11:45:00	260.79	FR7476	FR~7476~ ~~PSA~12/29/2022 11:45~TFS~12/29/2022 15:15~~	1665645624000
2022-10-13 22:30:02	Navidad	2	PSA	TFS	2022-12-31T06:55:00	229.19	FR7476	FR~7476~ ~~PSA~12/31/2022 06:55~TFS~12/31/2022 10:25~~	1665645514000
2022-10-13 22:30:02	Navidad	3	TFS	PSA	2023-01-05T15:50:00	229.19	FR7477	FR~7477~ ~~TFS~01/05/2023 15:50~PSA~01/05/2023 21:00~~	1665645877000
2022-10-13 22:30:02	Navidad	4	TFS	PSA	2023-01-07T11:00:00	354.42	FR7477	FR~7477~ ~~TFS~01/07/2023 11:00~PSA~01/07/2023 16:10~~	1665646463000
2022-10-13 22:30:02	Navidad	5	TFS	PSA	2023-01-09T10:15:00	229.19	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1665645915000
2022-10-18 22:06:47	Navidad	1	PSA	TFS	2022-12-29T11:45:00	300.49	FR7476	FR~7476~ ~~PSA~12/29/2022 11:45~TFS~12/29/2022 15:15~~	1666121555000
2022-10-18 22:06:47	Navidad	2	PSA	TFS	2022-12-31T06:55:00	230.59	FR7476	FR~7476~ ~~PSA~12/31/2022 06:55~TFS~12/31/2022 10:25~~	1666082615000
2022-10-18 22:06:47	Navidad	3	TFS	PSA	2023-01-05T15:50:00	262.39	FR7477	FR~7477~ ~~TFS~01/05/2023 15:50~PSA~01/05/2023 21:00~~	1666121560000
2022-10-18 22:06:47	Navidad	4	TFS	PSA	2023-01-07T11:00:00	413.31	FR7477	FR~7477~ ~~TFS~01/07/2023 11:00~PSA~01/07/2023 16:10~~	1666121499000
2022-10-18 22:06:47	Navidad	5	TFS	PSA	2023-01-09T10:15:00	260.79	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1666082740000
